id,name,neighborhood_overview,transit,house_rules,host_name,host_response_time,host_neighbourhood,city,state,zipcode,country,housetype,room_type,bathrooms,bedrooms,amenities,price
1911814,Suite Sunnyside (Highlands),"The Highlands is, in our opinion, the best neighborhood in Denver.  From our house we are a quick walk to some great restaurants and bars, and a 15 minute walk to Highland Square and LoHi.  The Universal, an incredible breakfast place, is a block away and Ernie's, a great neighborhood bar/pizza place is 4 blocks away. The neighborhood is easy access to Coors Field (Rockies), Pepsi Center (Avs, Nuggets, Concerts) and Mile High (Broncos).","We are close to many RTD bus routes and a 5 minute cab ride to LoDo/Downtown.   We are also easy access to all major highways (I-25, I-70, US 36).","Please note you will receive an email from the resolution center requesting the Denver county lodgers tax of 10.75% You will have 24 hours to accept the tax charge to maintain your reservation. Denver county does not allow the lodgers tax to be included in the nightly rate. Denver requires the fee to be separate so guests can see the amount. With a young child, we take our sleep seriously, so we request that our guests be respectful of our night time sleep--relatively quiet after 10pm.   No cigarette/cigar smoking and no drugs that are illegal in CO.   If you choose to enjoy the CO greenery, please be considerate if smoking and open a window while you are home to keep air flowing. If using the evaporative cooler be sure to keep the water level between the min and max.  To refill, gently pull out the tray on the back of the unit.  Use a  large cup or tea kettle to fill it with water.  There is a water level indicator on the side of the unit.  If the unit is operated without ample water,",Randall,within an hour,Sunnyside,Denver,CO,80211,United States,Guest suite,Entire home/apt,1,1,"{TV,""Cable TV"",Wifi,""Air conditioning"",Kitchen,""Free street parking"",Heating,""Family/kid friendly"",""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",Lockbox,""Private living room"",""Private entrance"",""Outlet covers"",""Children’s books and toys"",""Pack ’n Play/travel crib"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove}",$99.00 
1915301,Modern LoHi Townhome | Panoramic Rooftop Views,Pleasant Neighbourhood,Free street parking!,Please treat the house like your own. I am renting it out while I am off on my own travels and would like to come back to it the way it was when I left.   A few simple rules No smoking (the smoke alarm / fire suppression system will go off) No pets No shoes on the third floor (where the bedrooms are) Looking forward to having you!,Kelvin,within an hour,Windsor,Denver,CO,80211,United States,Townhouse,Entire home/apt,2.5,2,"{TV,Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",""Free street parking"",Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",Lockbox,""Private entrance"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Patio or balcony""}",$201.00 
1955800,High-Rise Condo in Heart of Denver,"THE NEIGHBORHOOD The neighborhood is great!  There's some great dining, live music, awesome bars, the theater district, tons of nightlife, sporting events and concerts in walking distance, and 14th Street recently went through a multi-million dollar renovation. Oh, and there are breweries, distilleries, and even wineries in the area! Want to escape to the mountains for the day?  It's easy to access the highway and you'll be entering the mountains within about 15 minutes of leaving the city.  On top of that, there is a Hertz in the building.","GETTING AROUND Denver has some awesome pockets of neighborhoods worth checking out, simply ask me what I recommend based on your interests and I'll point you in the right direction. Car2Go is a car share program that is extremely affordable if you're signed up.  If you're not, look into it and sign up in case it takes them a day or two to get your account live. There is a light rail station across the street.  Union Station for nearly all bus routes, trains, and the train to the airport is a short walk away, and there are plenty of cabs.  B-cycle is a bike share program that you can sign up for when you arrive, it's about $9 per day (I'm not certain on all the pricing so check out their website first) or you can sign up for longer periods with discounts.  There is a B-cycle station across the street and many throughout the city - available year round. Parking - In building garage parking available at an extra cost (this is generally a ""market price"" situation as some owners in the buil","HOUSE RULES No pets, no smoking (anywhere in the building), please simply be respectful of my property, and the neighbors in the building. If you have a complaint, or just need something, please don't hesitate to notify me.  There's nothing worse than having an unhappy guest who doesn't communicate his/her feelings while something can still be done to remedy!",Joey,Within a day,CBD,Denver,CO,80202,United States,Apartment,Entire home/apt,1,1,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Pool,Kitchen,Gym,Elevator,""Hot tub"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",""Building staff""}",$225.00 
1959836,Artist Cottage in Denver,"The neighborhood is filled with beautiful historic architecture homes and thoughtful gardens.  Primarily of homes, schools and churches with some exciting new pubs, coffee shops, and shops along the way to downtown. Close to City Park with the Zoo and Natural Science Museum, RiNo Arts district, Source a new local eatery/coffee/market, and many local breweries and coffee shops.",Free parking on street.  Bus stop just a block away.  Light rail and bike share is about a mile west by bus or a healthy walk.  Downtown is about 2 miles west.,"No eating or drinking in the bedroom. No alcohol, marijuana, smoking, or vaping allowed on the property. No cooking meat or fish. (We are a vegetarian/vegan household.) No party people or bringing over additional guests. Please coordinate a check-in time and stick to it; This is very important as I work varied hours and need to coordinate my day. Please be respectful of my time. There is a $15/hr late fee after the first 1/2 hr. Thank you for understanding. Please no late night arrivals after midnight for check-in.  Quiet hours are 10pm-6am.  (This is not a curfew, just a reminder of respectful hours. Please keep in mind, I sometimes work from home and am not on vacation like my guests.  If you feel this may cramp your vacation, then we may not be a good fit.)",Anne,within a few hours,Clayton,Denver,CO,80205,United States,Bungalow,Private room,1,1,"{Wifi,Kitchen,Breakfast,""Pets live on this property"",Dog(s),Cat(s),""Free street parking"",Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Private entrance"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Garden or backyard"",""Long term stays allowed"",""Host greets you""}",$39.00 
1959918,Inviting Re-Imagined Row House with Yard,"The home is located in Lincoln Park just outside of downtown, and blocks from the Santa Fe Arts District. The Cherry Creek trail is blocks away, perfect for biking or running, or a brisk walk to surrounding neighborhoods. Easily walk to the Denver Convention Center, The Performing Arts Center, Denver Art Museum, or the Pepsi Center within minutes & avoid driving. Supermarket handily located around the corner; unique restaurant experiences & breweries are nearby, as well.","Super quick and easy highway access to get anywhere in the city or mountains in a snap. Blocks from I-25 and 6th Ave, both main access and exit points in and out of the city. Excited to announce that you can now take the light rail to my place from Denver International Airport! Take the train from DIA to Union Station; take the underground walkway over to jump onto the C or E lines; ride to the Osage & 10th stop - 4 stops from Union Station. My place is northeast across the park - 3 blocks North / 3 blocks East. The walk can appear a bit sketchy through my neighborhood if you're not used to cities - I do it all the time but I'm a tall male - just keep that in mind if you come in late at night. The other light rail stop 2 blocks north is great for getting to downtown locations. Colfax Avenue two blocks up is a good a place as any to hail a cab in Denver. Ubers, Lyfts, and Denver B-Cycles abound. Cherry Creek trail is blocks away. So many great places are walkable.","BIG ONE: Parking is permit only directly around the house which makes it super easy 24 hours a day. But if you take off with my permit I'm unable to get a new one so your deposit will be kept in full. There's a big sign to remind you on checkout. No cigarettes, smoking weed outside allowed Not a hotel, anything left for a renter is to be left behind Love it and leave it clean",Mike,within an hour,Lincoln Park,Denver,CO,80204,United States,Townhouse,Entire home/apt,1,1,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",""Free street parking"",""Buzzer/wireless intercom"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_50"",""Self check-in"",Keypad,""Private living room"",""Private entrance"",""Hot water"",""Body soap"",""Bath towel"",""Toilet paper"",""Bed linens"",""Extra pillows and blankets"",""Ethernet connection"",""Pocket wifi"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Single level home"",""Patio or balcony"",""Garden or backyard"",""Luggage dropoff allowed"",""Long term stays allowed"",""Cleaning before checkout"",""Outdoor seating"",""Soaking tub"",""Full kitchen"",""Bedroom comforts"",""Bathroom essentials""}",$125.00 
1966103,10 Mins To Downtown! South Pearl • Wash Park • DU,"Location and space is perfect for families, professionals and travelers. Our home is just a ten minute drive to downtown Denver and a short walk to the Evans Light Rail Station (which gets you downtown in 10 min).  We are walking distance to DU, South Pearl, Wash Park and South Broadway.  We are 1 block to South Pearl, an eclectic urban shopping district with more than a dozen great restaurants, bars and coffee shops. Some of our favorite South Pearl spots include:  • Taste Of Thailand - Best thai food in Denver.  • Morning Collective - Best breakfast in town • Sushi Den - Best sushi in all of Denver/maybe all of Colorado   • Izakaya Den -  Sushi Den's sister fusion restaurant • The Tavern - Great beer selection, pub food. Great patio.  • Hansens - Great corner bar, cheap drinks and food. Local favorite. • El Tejado - Great mexican food • Village Cork - Cool little wine bar. Great patio.  • Fourteen Seventy-Two - Southern Cuisine.   • Sexy Pizza - Good pizza and beer • The Yardbird - A","The Light Rail is within walking distance to the house. There are 2 different locations, the Evans stop is a 10 min walk and the South Pearl stop is a 15 min walk. Uber and Lyft run throughout the city for very cheap as well.",Our house is located in a great neighborhood in Denver. Our neighbors are fun and easy going so moderate noise levels at night are totally acceptable until about 10PM. We do not allow cigarette or pot smoking in our house but you are welcome to smoke in the front or backyard. There are literally dozens of cannabis shops within walking distance from our home so we encourage those who smoke to pay them a visit! Unfortunately our daughter is allergic to dogs so we do not allow any pets at our home. My wife and I keep our house clean and we trust our guests will do the same.,Jon & Irene,within a day,Platt Park,Denver,CO,80210,United States,House,Entire home/apt,2,3,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",""Free street parking"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",Lockbox,Bathtub,""High chair"",""Stair gates"",""Children’s books and toys"",""Pack ’n Play/travel crib"",""Children’s dinnerware"",""Hot water"",""Luggage dropoff allowed"",""Long term stays allowed""}",$145.00 
1975775,Near downtown baby/kid friendly,Our neighborhood is an eclectic mix of people in a fabulous location near downtown Denver. We love our neighborhood and hope you do too. Please do not expect a suburban environment.,"There are bus stops on the surrounding blocks, and the light rail station is just a few blocks away.","No pets, no smoking of any type. We prefer shoes off in the house, but it is required in carpeted rooms.",Lauren And Joel,within an hour,Whittier,Denver,CO,80205,United States,House,Entire home/apt,2.5,3,"{TV,Internet,Wifi,""Air conditioning"",Kitchen,""Free street parking"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",Lockbox,""High chair"",""Children’s books and toys"",Crib,""Pack ’n Play/travel crib"",""Hot water""}",$135.00 
2061222,Sunny private house&driveway,"This neighborhood is perfect for someone who wants to be close to the city, but not have to worry about noise, traffic, or parking. There's plenty of walkable shops, bars, and restaurants. The best part is there are two grocery stores and a liquor store just 1 block away. **Check out my ""guidebook"" for my recommended restaurants/bars/cafes!","Lyft and Uber are both very popular in Denver and easy to use. A ride downtown is usually less than $10, depending on time of day. I can give you promo codes for free rides on both (the links will be sent to you once you confirm your reservation). Turo is a car rental app, and I'll also send you a link for $25 off.  There is a Hertz rental shop across the street, and buses run regularly. Lots of ways to get around!","Please try not to be loud, including heavy walking (it is disruptive to guests in unit below). Smoking outside only, please. Use only front entrance at all times.",Darja,within an hour,Capitol Hill,Denver,CO,80220,United States,House,Entire home/apt,1,2,"{Internet,Wifi,Kitchen,""Free parking on premises"",""Smoking allowed"",""Pets allowed"",Heating,""Family/kid friendly"",""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""Self check-in"",Lockbox,""Private entrance"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",""Ethernet connection"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Single level home"",""Patio or balcony""}",$95.00 
2072132,Rustic Craftsman Master Suite,"Convenient walkable location. A few blocks walk to rail/train stops at 38th & Blake for the A-Line route and 30th & Downing for the L-Line route. Short walk or Lyft ride (~1 mile) to a ton of great restaurants and craft breweries on Larimer/Walnut/Blake Street. We really like this neighborhood, but it isn’t for everyone. It’s on the wrong side of the tracks for some. Our neighborhood is transitioning; it is at the confluence trifecta of low-income, working class, and  high-income people. We’re all people though!","Getting around using the rail (train) is an easy 3-step process that involves walking, getting your ticket, and enjoying the ride. Denver International Airport to our house —> 1) Purchase a one-way ticket at the kiosk (takes cash or credit). 2) Get on the Rail: A-Line (train) westbound in the airport and take a 30 minute ride. Get off at 38th/Blake Station. 3) Walk 15 minutes to our house (~6 blocks south on Downing Street, 1 block east on Bruce Randolph Ave, south on Marion St).   Our house to Denver International Airport —> 1) Walk 15 minutes to 38th/Blake Station (north on Marion St, 1 block west on Bruce Randolph Ave, ~6 blocks north on Downing St). 2) Purchase a one-way ticket at kiosk (takes cash or credit). 3) Get on the Rail: A-Line (train) eastbound. Last stop is the airport.  Our house to Union Station —> 1) Walk 15 minutes to 38th/Blake Station (north on Marion St, 1 block west on Bruce Randolph Ave, ~6 blocks north on Downing St). 2) Purchase a one-way/round trip/or full-da","No smoking inside. You may smoke outside.  Please leave your shoes at the front door if it's rainy, snowy, or muddy. Light snacks and drinks only in the bedroom.",Jessica,Within a day,Cole,Denver,CO,80205,United States,Bungalow,Private room,1,1,"{Internet,Wifi,""Air conditioning"",Kitchen,""Free street parking"",Heating,""Family/kid friendly"",""Suitable for events"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",Keypad,""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""BBQ grill"",""Patio or balcony"",""Garden or backyard"",""Luggage dropoff allowed"",""Long term stays allowed""}",$75.00 
2104774,HOT! Best Location in Denver.  Cozy clean quiet,"THIS IS THE BEST LOCATION IN DENVER:  My house is in a quiet tree lined neighborhood, with free parking.  It is also a short 1 mile walk to the center of Downtown.  There is no car needed for a full vacation with a huge variety of entertainment, food, parks... Walk out the front door and two doors down and you are at restaurant row.  At your feet are three restaurants (Paxti Pizza, Next Door, Olive and Finch, Limon) and many others. Within one block distance is Humboldt Farm Fish Table (a top-rated restaurant in Denver),  7-11, and Qdoba.  Walk another block and you will find Starbucks, coffee shops, fast food, bars, restaurants, sushi, and shops. Our neighborhood is officially City Park West, but is also called North Capitol Hill, Uptown, and Whittier Heights.  We are adjacent to Downtown, Capitol Hill, the Central Business District CBD, Five Points, Central, Cheesman Park, Congress Park, Curtis Park, Baker, Lincoln Park, and LoDo.","B Cycles are available across the street.  There are buses that pick up and drop off one block from my house and run every 15 minutes into downtown. St. Joseph’s Hospital, St. Luke’s Hospital, and Children's Hospital are two blocks down. Denver's premier music scene is 5-7 blocks down, close enough to walk, but far enough for quiet tranquility. City Park and Chessman Park are a few blocks away Downtown, Botanic Gardens, Museums, and the Civic Center are a one mile walk. Walk a few more blocks to the Colorado Convention Center, Denver Center of Performing Arts, the Rockies, 16th Street Mall and many other attractions.","13 House Rules 1.	We only accept reservations that are within five nights of the last vacancy. 2.	**No check-ins or check-outs on Holidays.- Including: Memorial Day, Mothers Day, Fathers Day, Fourth of July, Labor Day, Halloween, Thanksgiving, Christmas, New Years, Valentines Day, Easter. 3.	*No pets, smoking, incense, candles, or cannabis allowed anywhere on our property.   4.	Off street parking is available for $90 per month, optional. 5.	*Don’t need bed and bath linens?  Let us know ahead of check-in, and we will give you a $50 linen/community fee refund. 6.	*We do not charge for cleaning.  Guest are required to leave the apartment and contents (including linens) clean and damage free: “In as clean of condition as it was given.” 7.	*If linens are left soiled, the minimum cleaning fee is $80.00. Linens returned permanently soiled or damaged, incur replacement cost charges, plus an additional $80 for time and material. 8.	*We do not allow guests with criminal records or negative renta",Jeanne,within a few hours,City Park West,Denver,CO,80218,United States,Apartment,Entire home/apt,1,1,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Free street parking"",""Indoor fireplace"",Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Self check-in"",""Building staff"",""Hot water"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Garden or backyard"",""Long term stays allowed"",""Cleaning before checkout"",""Paid parking on premises""}",$65.00 
2119667,Architect Owned Reclaimed Retreat in the Art District,"This unique and welcoming brick home is in the Lincoln Park neighborhood in the eclectic Santa Fe Art District in Denver. The area is known for its brightly colored storefronts, fancifully painted alleyways, street art, diverse cultural scene, and abundant ethnic restaurants. This space is co-hosted by local experiential hospitality startup The Sursy: the company behind the shoppable design and experience. Use #staysursy to share your stay and follow along!","GET AROUND KEY • Walk – up to 10 blocks • Bike – up to 20 blocks • Light Rail – 20 blocks or more • Drive - I-25 is 4 blocks away. (You can't hear the freeway, but you'll be able to get in and out of town very quickly.) PROFESSIONAL / EDUCATIONAL • Auraria Campus – University of Colorado Denver, Community College of Denver, & Metropolitan State University Denver (Walk or Bike) • Convention Center (Walk 5 Blocks - 12 minutes) • Downtown Business District (Walk / Bike / Light Rail) SPORTS • Broncos Stadium (Bike / Drive) • Pepsi Center (Walk / Bike / Drive)  • Coors Field (Bike / Light Rail / Drive) CULTURAL / TOURIST • Performing Arts Center (Walk) • Denver Art Museum (Walk) • Museum of Contemporary Art (Walk) • Clifford Still Museum (Walk) • Santa Fe Arts District (Walk) • Downtown Walking Mall (Walk / Bike / Light Rail) • Civic Center (Walk / Bike) SURSY SUGGESTIONS • El Noa Noa (Walk) • Rule Gallery (Walk) • Domo Restaurant (Walk) • Renegade Brewery (Walk / Bike) • Molecule Effect - ","By booking The GandyHouse guests automatically consent that they have read, understand, and acknowledge the Liability Waiver and Shopping + Charges clauses as detailed in the House Manual.",Nicole,within an hour,Lincoln Park,Denver,CO,80204,United States,House,Entire home/apt,1,2,"{TV,Internet,Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",Breakfast,""Free street parking"",""Indoor fireplace"",Heating,""Family/kid friendly"",""Suitable for events"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_50"",""Self check-in"",Keypad,""Private entrance"",Bathtub,""Hot water"",""Body soap"",""Bath towel"",""Toilet paper"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Stove,""Single level home"",""Patio or balcony"",""Garden or backyard"",""Long term stays allowed"",""Mini fridge"",""Formal dining area"",""Outdoor seating"",""Soaking tub"",""Full kitchen"",""Bedroom comforts"",""Bathroom essentials""}",$166.00 
2139342,Designer Home Away From Home,"Quick access to all kinds of recreation, 25-35 minutes to Downtown and Tech Center employment centers. Hilltop is in the midst of the most desirable and vibrant neighborhoods in the city. Minutes to fantastic shopping, art galleries, entertainment, sports and museum venues and award winning restaurants.",There is bus service to all areas with bus stops close by.  Bus connects to light rail.  Private vehicle travel tends to be the best/fastest way to get around from this location.  Free street parking for three vehicles is available right out front.,"GARDEN HOUSE RULES NO SMOKING- This is strictly a smoke free apartment and property. For the comfort of our guests and neighbors please do not smoke tobacco or any substance in the apartment or anywhere on the property. Thank you. NO PETS. NO PARTIES. We understand that you may be visiting relatives living in the Denver area and may want to have them over to the apartment. This is not a problem. Let us know how we can help you best enjoy your visit to Denver. Please agree to keep our home clean, kitchen, stove/oven, refrigerator, pots, pans, dishes. Thank you. Some guests are allergic to perfumes and scented body products. Whenever possible, and for the comfort of all our guests, please use unscented body products. There is another apartment next door so be respectful of the surrounding neighbors.  This is our home, please take good care of it and enjoy your stay! Sorry that we cannot allow dogs or other pets on the property at any time.",Jeffrey,within an hour,Hilltop,Denver,CO,80220,United States,Apartment,Entire home/apt,1,2,"{TV,Internet,Wifi,""Air conditioning"",Kitchen,""Free street parking"",""Indoor fireplace"",Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Hot water"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Long term stays allowed"",""Host greets you""}",$85.00 
2146050,Beautiful Carriage House Apartment,"Location:  The carriage house is in Baker neighborhood, which is a historic Denver neighborhood.  While the carriage house is a new addition, the main house was built in 1880's.  The location can't be beat - it's within blocks of all the amenities of South Broadway: Sweet Action ice cream, Happy Coffee, Historian Ale House, Mayan Movie Theater, Beatrice and  Woodsley, Trve Brewery, and tons of other unique shops, tasty restaurants, and fun bars, all with a local feel.  The Santa Fe Arts District and several other local breweries are within walking distance as well. Downtown and all the sports stadiums are within easy bike / bus / light rail rides.   There is a B-cycle bike station within blocks of the house.  B-cycles are bikes that can be rented (for a few hours or a few days) with a simple credit card swipe.  There are stations throughout the city, so you can use a bike to get to your destination, turn it in, and then check out another one to go to the next place.  There are also usu","Public transport: - 1 block to 52 bus (downtown) - 2 blocks to the 0 bus (downtown / South Broadway)  - 2 blocks to 1 bus (cherry creek mall) - 1 mile to light rail Alameda station (light rail to Pepsi Center, Coors Field, Sports Authority Field, Convention Center, Performing Arts Center, Union Station, downtown, etc) - Easy public transport to the airport (light rail or bus to sky ride) - 2 blocks to b-cycle station - less than 1 mile to cherry creek trail & bike path Parking: We are no longer offering the small parking space in the back of our carriage house. We just had our roof/gutters replaced and our new gutters are being destroyed. There is street parking.  Generally, it isn't hard to find parking on Bannock.  We are not responsible if your car is towed for any reason.  Note: None of our guests have had their car towed, so I wouldn't anticipate a problem.",No smoking anywhere on the premises.,Ryan,within a few hours,Baker,Denver,CO,80223,United States,Guesthouse,Entire home/apt,1,1,"{TV,Internet,Wifi,""Air conditioning"",Kitchen,""Pets live on this property"",Dog(s),""Free street parking"",Heating,""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Private entrance"",""Hot water"",""Bed linens"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Garden or backyard"",Other}",$90.00 
2175370,PrivateBdrmShare Bath*LadiesOnly*Walk DU&PorterHos,"Search Cherry Hills Vista neighborhood for more information about area...short bio... ""Cherry Hills Vista is comprised primarily of large 1950’s brick ranch style homes on the South side and smaller frame-siding homes to the North, both of which usually sit on larger than average lots""",The University of Denver Lite Rail is about 10 blocks north or can walk 5 blocks east and hop the University Blvd #24 RTD bus.  Also will find plenty of bikes and scooters to rent if interested!,"1.  Please note that there are 4 Airbnb listings for my home; 3 private rooms for ladies only and an ""entire"" home listing.    2.  Ask guests consideration to observe ""quiet time"" from 9pm until 9am and since guest rooms are next door to each other that late nite fone calls be taken in living room space or elsewhere. TY! 3.  Household is non-smoking and and ask that only non-smokers reserve. 4.  Other AirBnb listings available if this one is reserved or if traveling with family or friends and need an additional room or entire home welcome to search these listings: airbnb.com/rooms/ (Phone number hidden by Airbnb) private room ladies only) airbnb.com/rooms/ (Phone number hidden by Airbnb) private room ladies only) airbnb.com/rooms/ (Phone number hidden by Airbnb) entire home sleeps 5) 5.  Non-Guest Policy - Only guests with confirmed reservations are allowed in house.  **Exceptions to this rule: family/friends helping to drop you off on arrival or departure dates, food delivery folks or",Barbara,within a few hours,University,Denver,CO,80210,United States,House,Private room,1,1,"{TV,Wifi,Kitchen,""Pets live on this property"",Dog(s),""Free street parking"",Heating,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Self check-in"",Keypad,""Private living room"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Single level home"",""Patio or balcony"",""Luggage dropoff allowed"",""Long term stays allowed"",""No stairs or steps to enter"",""Flat path to guest entrance"",""Well-lit path to entrance"",""No stairs or steps to enter"",""Accessible-height bed"",""No stairs or steps to enter"",""No stairs or steps to enter""}",$29.00 
2216969,Modern Studio,"Quick access to all kinds of recreation, 25-35 minutes to Downtown and Tech Center employment centers. Hilltop is in the midst of the most desirable and vibrant neighborhoods in the city. Minutes to fantastic shopping, art galleries, entertainment, sports and museum venues and award winning restaurants.",There is bus service to all areas with bus stops close by.  Bus connects to light rail.  Private vehicle travel tends to be the fastest way to get around from this location.  Street parking is available right out front and free parking on the property for one vehicle.,"NO SMOKING of tobacco or any substance in the apartment or anywhere on the property.  NO PETS are allowed on the property at any time. NO PARTIES OF EVENTS. Please agree to keep our kitchen clean! (pots, pans, dishes, appliances, floor, etc.) Thank you! Thank you for respecting our policies and rules. This is our home, please look after the place and enjoy your stay!",Jeffrey,within an hour,Hilltop,Denver,CO,80220,United States,Apartment,Entire home/apt,2,0,"{TV,Internet,Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",""Free street parking"",Heating,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Private entrance"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",""Ethernet connection"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",""Patio or balcony"",""Garden or backyard"",""Long term stays allowed"",""Host greets you""}",$60.00 
